"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,1.203106261E0
4.687500000E1,3.182612468E0
7.031250000E1,1.562873604E0
9.375000000E1,2.473906847E0
1.171875000E2,2.946911763E0
1.406250000E2,6.687021421E0
1.640625000E2,7.517605085E0
1.875000000E2,5.123524670E1
2.109375000E2,2.403145688E1
2.343750000E2,7.932452872E0
2.578125000E2,9.777372152E0
2.812500000E2,4.570581410E0
3.046875000E2,4.776688223E0
3.281250000E2,9.088352800E-1
3.515625000E2,8.718155621E0
3.750000000E2,1.337123442E1
3.984375000E2,1.130711878E1
4.218750000E2,5.424852212E0
4.453125000E2,3.488410046E0
4.687500000E2,2.741737938E0
4.921875000E2,1.533545970E0
5.156250000E2,3.438211860E0
5.390625000E2,1.439360600E0
5.625000000E2,1.896938848E0
5.859375000E2,5.214664777E0
6.093750000E2,2.284035360E0
6.328125000E2,1.610018985E0
6.562500000E2,4.447853386E0
6.796875000E2,1.468583023E0
7.031250000E2,1.148465530E0
7.265625000E2,3.447150789E0
7.500000000E2,3.501981775E0
7.734375000E2,1.247407342E1
7.968750000E2,1.746455646E0
8.203125000E2,2.909823377E-1
8.437500000E2,3.053527136E0
8.671875000E2,3.059237933E0
8.906250000E2,8.322951344E-1
9.140625000E2,1.415984329E0
9.375000000E2,3.139736006E0
9.609375000E2,1.124789637E1
9.843750000E2,4.870848229E0
1.007812500E3,4.120111003E0
1.031250000E3,3.801474489E0
1.054687500E3,1.850528533E0
1.078125000E3,5.492822856E-1
1.101562500E3,2.050202753E0
1.125000000E3,3.700700590E0
1.148437500E3,5.174756815E0
1.171875000E3,4.867588047E0
1.195312500E3,2.553047446E0
1.218750000E3,1.889180392E0
1.242187500E3,4.043538254E0
1.265625000E3,1.620606757E0
1.289062500E3,2.177544622E0
1.312500000E3,1.286798513E0
1.335937500E3,5.934636700E-1
1.359375000E3,3.776847129E0
1.382812500E3,1.194504648E0
1.406250000E3,1.550660682E0
1.429687500E3,1.429874981E0
1.453125000E3,5.310613081E-1
1.476562500E3,3.353618860E-1
1.500000000E3,1.868700319E0
1.523437500E3,2.007925628E0
1.546875000E3,1.904588438E0
1.570312500E3,1.095423673E0
1.593750000E3,1.697226821E0
1.617187500E3,1.812478969E0
1.640625000E3,1.418082500E0
1.664062500E3,6.881283213E-1
1.687500000E3,1.636750110E0
1.710937500E3,1.183492103E0
1.734375000E3,8.085303710E-1
1.757812500E3,5.379774256E-1
1.781250000E3,4.311786403E-1
1.804687500E3,3.412605685E-1
1.828125000E3,4.108958920E-1
1.851562500E3,6.012867789E-1
1.875000000E3,4.412935664E-1
1.898437500E3,3.064313444E-1
1.921875000E3,4.591034506E-1
1.945312500E3,4.248689324E-1
1.968750000E3,2.778461978E0
1.992187500E3,8.708854902E-1
2.015625000E3,8.242089077E-1
2.039062500E3,5.357010857E-1
2.062500000E3,4.609132082E-1
2.085937500E3,4.175067024E-1
2.109375000E3,8.151334516E-1
2.132812500E3,1.890574953E0
2.156250000E3,1.146506889E0
2.179687500E3,1.405341393E0
2.203125000E3,4.775403532E-1
2.226562500E3,9.305980343E-1
2.250000000E3,1.335649852E-1
2.273437500E3,1.601576605E-1
2.296875000E3,1.811227328E-1
2.320312500E3,2.128926763E-1
2.343750000E3,6.799865404E-2
2.367187500E3,6.058240526E-1
2.390625000E3,7.103093691E-1
